"COMPACTNESS","CIRCULARITY","DISTANCE_CIRCULARITY","RADIUS_RATIO","PR.AXIS_ASPECT_RATIO","MAX.LENGTH_ASPECT_RATIO","SCATTER_RATIO","ELONGATEDNESS","PR.AXIS_RECTANGULARITY","MAX.LENGTH_RECTANGULARITY","SCALED_VARIANCE_MAJOR","SCALED_VARIANCE_MINOR","SCALED_RADIUS_OF_GYRATION","SKEWNESS_ABOUT_MAJOR","SKEWNESS_ABOUT_MINOR","KURTOSIS_ABOUT_MAJOR","KURTOSIS_ABOUT_MINOR","HOLLOWS_RATIO","Class"
117,52,110,228,65,12,212,31,24,163,228,668,220,66,21,25,194,205,saab
88,44,77,167,59,6,151,44,19,145,175,343,177,64,9,12,202,208,opel
95,44,84,158,62,10,145,46,19,148,163,312,166,64,10,6,199,206,van
89,40,69,147,58,6,132,50,18,137,155,260,151,61,16,6,203,209,opel
97,46,101,210,66,8,192,35,22,151,208,546,169,66,1,32,191,200,opel
88,38,58,137,60,5,148,46,19,131,163,319,157,86,12,0,180,183,saab
91,46,78,148,61,9,147,45,19,152,168,323,199,70,13,11,189,200,van
81,47,69,146,64,6,151,44,19,147,171,340,195,75,5,0,183,188,bus
98,50,90,192,63,9,177,37,21,155,195,472,197,65,10,1,193,201,saab
93,42,88,188,62,10,183,36,21,141,208,504,168,70,3,12,189,197,opel
91,45,76,171,69,7,150,44,19,144,170,340,179,69,12,1,195,201,bus
109,49,109,193,59,10,207,32,24,156,225,635,213,70,13,31,191,202,saab
87,45,82,164,60,8,156,42,19,144,181,366,174,70,2,2,190,196,opel
100,49,96,206,63,9,186,35,22,156,202,519,176,62,3,5,197,205,opel
108,52,109,182,55,12,216,31,24,171,229,687,214,72,10,28,189,201,saab
101,46,105,195,61,10,198,34,23,150,213,578,195,66,7,38,192,205,saab
95,47,81,176,59,7,168,39,20,152,196,425,185,67,4,4,191,198,saab
89,47,85,147,58,10,153,44,19,151,175,349,186,74,13,7,186,197,van
87,45,77,153,59,7,154,44,19,145,181,350,172,75,15,14,184,189,opel
108,54,105,203,62,11,202,33,23,164,216,608,235,68,12,3,190,200,saab
90,47,85,149,60,10,155,43,19,155,179,355,186,75,1,5,185,196,van
82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179,185,saab
84,45,68,148,64,6,146,46,19,142,168,317,180,75,5,1,183,187,bus
89,47,81,156,57,8,161,41,20,149,187,388,197,72,9,15,187,193,opel
96,41,77,177,64,5,177,36,21,134,205,485,148,74,0,4,196,198,bus
97,45,72,187,71,5,161,40,20,144,178,399,186,70,7,7,196,203,bus
97,47,87,164,64,9,156,43,20,149,173,359,182,68,1,13,192,202,van
96,47,77,204,72,6,167,38,20,150,188,429,182,69,6,16,199,203,bus
87,36,53,117,58,4,118,57,17,125,138,205,138,85,9,15,180,183,van
109,52,95,189,58,4,227,29,25,158,262,776,217,82,0,19,187,186,bus
104,51,108,193,59,11,217,31,24,163,232,694,203,72,15,22,190,201,saab
87,37,60,132,57,6,128,52,18,129,154,243,132,71,1,14,186,192,saab
82,36,54,117,53,7,125,54,18,126,146,229,128,78,1,5,180,184,saab
105,56,98,209,64,11,217,31,24,173,225,696,216,72,2,19,188,199,opel
80,39,60,122,56,6,139,49,18,131,151,281,142,80,0,5,179,186,opel
106,54,100,227,67,4,250,27,27,162,280,923,262,88,5,11,182,182,bus
81,46,71,141,61,7,153,44,19,148,177,347,190,80,1,14,182,187,bus
